,salary
salary,1.0
ads,0.025767695878561387
expert,0.0240960463701509
facebook,0.02403869715916312
sales,0.019677907445818137
help,0.01629138060093937
business,0.01333427903031513
ai,0.012031302356633865
writer,0.010035848799076805
needed,0.00999344484869427
new,0.008604388256479863
company,0.00855006997709325
developer,0.006519769709335384
google,0.005336601924723634
development,0.005012438500327717
brand,0.004989179692244069
experienced,0.0033782149797410236
product,0.0014649331580697902
build,0.0013932911316753623
project,0.0006933822116244219
marketing,0.00011084362029063675
need,-0.0013112391410884728
web,-0.0033867661501912525
email,-0.0035434837906059852
design,-0.004203443072015012
looking,-0.005314485816252642
page,-0.005687586664274107
app,-0.006533484503917206
designer,-0.006555329669193967
amp,-0.007412375565631302
logo,-0.007420015104523944
create,-0.008370977961302638
specialist,-0.010258144951463632
graphic,-0.010274516781837044
channel,-0.011004767761864718
wordpress,-0.015436939148308635
shopify,-0.016219758683036177
website,-0.016573485030871086
content,-0.017228553397171272
data,-0.01900611132193663
seo,-0.01969471371295353
manager,-0.020202767326391157
youtube,-0.02352042386553844
video,-0.02526250965276957
english,-0.02616540202179457
editor,-0.027270879389117823
lead,-0.029038014539248275
media,-0.03548594755409523
social,-0.036166809261223655
virtual,-0.05806566298920186
assistant,-0.0700627142943225
